                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1645,                 4.7481,                 1.6441,                0.00669,                0.11898,                0.02545,                0.01398,                 2.4287,                 3.9796,                  1.926,             0.00023324,             0.00023324,             0.00023324
                      2,                 2.1262,                 3.5332,                 1.6256,                0.00803,                0.11577,                0.02677,                0.01642,                 2.4022,                 3.8336,                 1.8449,             0.00047324,             0.00047324,             0.00047324
                      3,                 2.1374,                 3.2315,                  1.573,                0.97994,                0.03464,                 0.0836,                0.03982,                 2.3678,                 3.1237,                  1.903,             0.00071165,             0.00071165,             0.00071165
                      4,                 2.1336,                 3.1604,                 1.6122,                0.50743,                0.02135,                 0.0295,                0.01353,                 2.4857,                 3.3933,                 2.0386,             0.00082475,             0.00082475,             0.00082475
                      5,                 2.1719,                 3.1225,                 1.6395,                0.65632,                0.07523,                0.06453,                0.02789,                 2.4051,                 2.8155,                 1.8351,               0.000822,               0.000822,               0.000822
                      6,                 2.1074,                 2.7974,                 1.6046,                0.65044,                0.09143,                  0.081,                0.03577,                 2.4531,                 3.2545,                  2.049,             0.00081926,             0.00081926,             0.00081926
                      7,                 2.1475,                  2.742,                 1.6207,                 0.7178,                0.05396,                0.06985,                0.03619,                 2.4137,                 4.3622,                 2.0187,             0.00081651,             0.00081651,             0.00081651
                      8,                 2.0593,                 2.5915,                 1.5711,                0.52914,                0.08268,                0.07637,                0.03609,                 2.5171,                 2.7003,                  2.012,             0.00081376,             0.00081376,             0.00081376
                      9,                 2.0336,                 2.4402,                 1.5494,                0.42016,                0.12169,                0.10901,                0.05167,                 2.3497,                 2.7019,                 1.8893,             0.00081101,             0.00081101,             0.00081101
                     10,                 2.0114,                 2.3694,                 1.5219,                0.28136,                0.12003,                0.10515,                0.04829,                 2.4017,                 2.6059,                 1.9248,             0.00080826,             0.00080826,             0.00080826
                     11,                 1.9761,                 2.2982,                 1.5383,                0.34635,                0.13351,                0.09502,                0.04675,                  2.367,                 3.1152,                 1.7813,             0.00080551,             0.00080551,             0.00080551
